2026-01-09 18:03:02.433108 ; Session        ; Debug       ; Session log loaded as 'C:\Users\Rachel\OneDrive\Documents\GitHub\AI-Driven-Test-Plan-Generator(1)\AI-Driven-Test-Plan-Generator\KeysightGPT\bin\Debug\SessionLogs\MSBuild.10308 2026-01-09 17-52-17 (1).txt'. [1.53 ms]
2026-01-09 18:03:02.437103 ; Session        ; Debug       ; Deleting log file: C:\Users\Rachel\OneDrive\Documents\GitHub\AI-Driven-Test-Plan-Generator(1)\AI-Driven-Test-Plan-Generator\KeysightGPT\bin\Debug\SessionLogs\MSBuild.1160 2025-11-14 23-39-37.txt
2026-01-09 18:03:02.438104 ; Session        ; Debug       ; Running '"C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin\amd64\MSBuild.exe" /nologo /nodemode:1 /nodeReuse:true /low:false' in 'C:\Users\Rachel\OneDrive\Documents\GitHub\AI-Driven-Test-Plan-Generator(1)\AI-Driven-Test-Plan-Generator\KeysightGPT'.
2026-01-09 18:03:02.576886 ; FilePackageRepository ; Debug       ; Rebuilding cache: .PackageCache.C83F5A61.25.xml [134 ms]
2026-01-09 18:03:02.577888 ; Package Query  ; Debug       ; Read 25 packages from [FilePackageRepository: file:///C:/Users/Rachel/AppData/Local/OpenTap/PackageCache] [136 ms]
2026-01-09 18:03:04.282200 ; HttpPackageRepository ; Debug       ; {"type":"TapPackage","directory":"/Packages/","version":"","architecture":"x64","os":"Windows"} -> found 1874 packages. [1.70 s]
2026-01-09 18:03:05.008953 ; HttpPackageRepository ; Debug       ; {"type":"TapPackage","directory":"/Packages/","name":"Keysight IO Libraries Suite","version":"beta","architecture":"x64","os":"Windows"} -> found 0 packages. [716 ms]
2026-01-09 18:03:05.009971 ; image          ; Debug       ; Resolved image: Editor:9.28.2, OpenTAP:9.28.2+504225fd, Keysight Licensing:^1.6.0+0095b09a, OSIntegration:^1.4.3+0968b4c4, TUI:^1.1.1+507fd903, WPF Controls:^9.28.2+91e4cbc4, Keysight Fixed License Manager:^1.6.2+d58f8a89, Keysight IO Libraries Suite:^18.4.30319-beta.2.5+a2799c9d, PathWave License Manager:^7.4.1+efeba870 [718 ms]
2026-01-09 18:03:06.768393 ; OpenTAP        ; Information ; Target installation is already up to date.
2026-01-09 18:30:48.063075 ; Session        ; Debug       ; Session log loaded as 'C:\Users\Rachel\OneDrive\Documents\GitHub\AI-Driven-Test-Plan-Generator(1)\AI-Driven-Test-Plan-Generator\KeysightGPT\bin\Debug\SessionLogs\MSBuild.10308 2026-01-09 17-52-17 (2).txt'. [949 us]
2026-01-09 18:30:48.078965 ; Session        ; Debug       ; Running '"C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin\amd64\MSBuild.exe" /nologo /nodemode:1 /nodeReuse:true /low:false' in 'C:\Users\Rachel\OneDrive\Documents\GitHub\AI-Driven-Test-Plan-Generator(1)\AI-Driven-Test-Plan-Generator\KeysightGPT'.
