2025-11-15 12:17:10.957511 ; Session        ; Debug       ; Session log loaded as 'C:\Users\Rachel\OneDrive\Documents\GitHub\AI-Driven-Test-Plan-Generator(1)\AI-Driven-Test-Plan-Generator\KeysightGPT\bin\Debug\SessionLogs\MSBuild.15352 2025-11-15 12-17-10.txt'. [2.87 ms]
2025-11-15 12:17:10.975302 ; Session        ; Debug       ; Running '"C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin\amd64\MSBuild.exe" /nologo /nodemode:1 /nodeReuse:true /low:false' in 'C:\Users\Rachel\OneDrive\Documents\GitHub\AI-Driven-Test-Plan-Generator(1)\AI-Driven-Test-Plan-Generator\KeysightGPT'.
2025-11-15 12:17:11.030516 ; AssemblyFinder ; Debug       ; Found 5/26 assembly files. [5.63 ms]
2025-11-15 12:17:11.106523 ; Searcher       ; Debug       ; Ordered 5 assemblies according to references. [71.8 ms]
2025-11-15 12:17:11.200517 ; PluginManager  ; Debug       ; Found 3 plugin assemblies containing 176 plugin types. [167 ms]
2025-11-15 12:17:11.202514 ; PluginManager  ; Debug       ; Found version 9.28.2+504225fd  of OpenTap.dll from C:\Users\Rachel\.nuget\packages\opentap\9.28.2\build\payload\OpenTap.dll
2025-11-15 12:17:11.202514 ; PluginManager  ; Debug       ; Found version 9.28.2+504225fd  of OpenTap.Package.dll from C:\Users\Rachel\.nuget\packages\opentap\9.28.2\build\payload\OpenTap.Package.dll
2025-11-15 12:17:11.202514 ; PluginManager  ; Debug       ; Found version 9.28.2+504225fd  of OpenTap.Plugins.BasicSteps.dll from C:\Users\Rachel\.nuget\packages\opentap\9.28.2\build\payload\Packages\OpenTAP\OpenTap.Plugins.BasicSteps.dll
2025-11-15 12:17:11.202514 ; PluginManager  ; Debug       ; Searched 5 Assemblies. [169 ms]
2025-11-15 12:17:11.234511 ; AssemblyData   ; Debug       ; Loaded OpenTap. [633 us]
2025-11-15 12:17:11.234511 ; AssemblyData   ; Debug       ; Loaded OpenTap. [430 us]
2025-11-15 12:17:11.235512 ; AssemblyData   ; Debug       ; Loaded OpenTap.Package. [225 us]
2025-11-15 12:17:11.237514 ; AssemblyData   ; Debug       ; Loaded OpenTap.Plugins.BasicSteps. [3.83 ms]
2025-11-15 12:17:11.243519 ; SystemInfo     ; Debug       ; Microsoft Windows 10.0.19045 X64
2025-11-15 12:17:11.243519 ; SystemInfo     ; Debug       ; .NET Framework 4.8.9310.0
2025-11-15 12:17:11.243519 ; SystemInfo     ; Debug       ; OpenTAP Engine 9.28.2+504225fd X64
2025-11-15 12:17:11.326519 ; AssemblyData   ; Debug       ; Loaded mscorlib. [600 ns]
2025-11-15 12:17:11.533735 ; Installation   ; Debug       ; OpenTAP                        - 9.28.2+504225fd
2025-11-15 12:17:11.533735 ; Installation   ; Debug       ; TUI                            - 1.1.1+507fd903
2025-11-15 12:17:11.533735 ; Installation   ; Debug       ; Keysight Fixed License Manager - 1.6.2+d58f8a89
2025-11-15 12:17:11.533735 ; Installation   ; Debug       ; Keysight IO Libraries Suite    - 18.4.30319-beta.2.5+a2799c9d
2025-11-15 12:17:11.533735 ; Installation   ; Debug       ; PathWave License Manager       - 7.4.1+efeba870
2025-11-15 12:17:11.552732 ; Resolver       ; Debug       ; Found match for OpenTap.Repository.Client, Version=4.17.0.0, Culture=neutral, PublicKeyToken=null in C:\Users\Rachel\.nuget\packages\opentap\9.28.2\build\payload\Dependencies\OpenTap.Repository.Client.4.17.0.0\OpenTap.Repository.Client.dll
2025-11-15 12:17:11.605743 ; Settings       ; Debug       ; No settings file exists for AuthenticationSettings. A new instance with default values has been created. [308 us]
2025-11-15 12:17:11.616740 ; Settings       ; Debug       ; No settings file exists for PackageManagerSettings. A new instance with default values has been created. [1.26 ms]
2025-11-15 12:17:11.764153 ; FilePackageRepository ; Debug       ; Rebuilding cache: .PackageCache.C83F5A61.17.xml [132 ms]
2025-11-15 12:17:11.770147 ; Package Query  ; Debug       ; Read 17 packages from [FilePackageRepository: file:///C:/Users/Rachel/AppData/Local/OpenTap/PackageCache] [146 ms]
2025-11-15 12:17:13.402529 ; HttpPackageRepository ; Debug       ; {"type":"TapPackage","directory":"/Packages/","version":"","architecture":"x64","os":"Windows"} -> found 1821 packages. [1.62 s]
2025-11-15 12:17:14.152602 ; HttpPackageRepository ; Debug       ; {"type":"TapPackage","directory":"/Packages/","name":"Keysight IO Libraries Suite","version":"beta","architecture":"x64","os":"Windows"} -> found 0 packages. [722 ms]
2025-11-15 12:17:14.163416 ; image          ; Debug       ; Resolved image: TUI:1, OpenTAP:9.28.2+504225fd, Keysight Fixed License Manager:^1.6.2+d58f8a89, Keysight IO Libraries Suite:^18.4.30319-beta.2.5+a2799c9d, PathWave License Manager:^7.4.1+efeba870 [752 ms]
2025-11-15 12:17:15.763085 ; OpenTAP        ; Information ; Target installation is already up to date.
